,user_index,have_been,confidence,values_in_order,prompts_in_order
108,20,No,3.0,7,Sandy beaches
109,21,Yes,4.0,7,An urban environment with multiple modes of transportation and several pedestrians
110,22,No,3.0,8,A snowy and icy river running through a forest
111,22,No,3.0,2,Suburbs of big cities
112,22,No,3.0,1,Industrial lot
113,22,No,3.0,9,A sunset on the sea
114,22,No,3.0,8,A forest at sunrise
115,22,No,3.0,8,Cliffs at sea level
116,22,No,3.0,1,Highways
117,22,No,3.0,6,Small village in the highlands
118,23,Yes,3.0,8,A flock of sheep on a hill
119,24,Yes,3.0,7,A fish and chips stall near the coast
120,25,Yes,3.0,8,An ancient graveyard near a church in the countryside
121,26,Yes,4.0,6,A dirt road through a meadow
122,26,Yes,4.0,6,A dirt road trough a grass field
123,26,Yes,4.0,5,A Victorian building along an asphalt road
124,26,Yes,4.0,5,An urban Victorian building
125,26,Yes,4.0,8,A rugged cliff facing a sea
126,26,Yes,4.0,8,A high cliff near an ocean
127,26,Yes,4.0,8,A grassy cliff near a rough sea
128,26,Yes,4.0,1,A wide motor way
129,26,Yes,4.0,1,A busy high way
130,26,Yes,4.0,1,A free way with heavy traffic
131,26,Yes,4.0,7,A grass field with an old wall
132,26,Yes,4.0,7,A meadow with a stone wall
133,26,Yes,4.0,10,A lake with misty mountains
134,26,Yes,4.0,10,A loch with mountains in a forest
135,26,Yes,4.0,9,A moor with low vegetation in the mountains
136,26,Yes,4.0,9,A bog with grass surrounded by a mountain
